school,county,type
B.D. GULLETT ELEMENTARY SCHOOL,MANATEE,k12
B.WRIGHT LEADERSHIP ACADEMY,MIAMI-DADE,k12
BABCOCK NEIGHBORHOOD SCHOOL,CHARLOTTE,k12
BABSON COLLEGE MIAMI CAMPUS,MIAMI-DADE,university
BAGDAD ELEMENTARY SCHOOL,SANTA ROSA,k12
BAILEY ELEMENTARY SCHOOL,HILLSBOROUGH,k12
BAINBRIDGE ACADEMY,SEMINOLE,k12
BAIR MIDDLE SCHOOL,BROWARD,k12
BAK MIDDLE SCHOOL OF THE ARTS,PALM BEACH,k12
BAKER COUNTY HIGH SCHOOL,BAKER,k12
BAKER COUNTY MIDDLE SCHOOL,BAKER,k12
BAKER COUNTY SENIOR HIGH SCHOOL,BAKER,k12
BAKER DISTRICT OFFICE,BAKER,k12
BAKER SCHOOL,OKALOOSA,k12
BAKER/HEAD START,CHARLOTTE,k12
BALDWIN ACADEMY PREPARATORY SCHOOL II,BROWARD,k12
BALDWIN MIDDLE-SENIOR HIGH SCHOOL,DUVAL,k12
BALDWIN PARK ELEMENTARY SCHOOL,ORANGE,k12
BALDWIN PREP SCHOOL,PALM BEACH,k12
BALLARD ELEMENTARY SCHOOL,MANATEE,k12
BALLAST POINT ELEMENTARY SCHOOL,HILLSBOROUGH,k12
BANYAN CREEK ELEMENTARY SCHOOL,PALM BEACH,k12
BANYAN ELEMENTARY SCHOOL,BROWARD,k12
BANYAN ELEMENTARY SCHOOL,MIAMI-DADE,k12
BAPTIST EARLY LEARNING CENTER,MIAMI-DADE,k12
BARBARA A HARVEY ELEMENTARY SCHOOL,MANATEE,k12
BARBARA GOLEMAN SENIOR HIGH,MIAMI-DADE,k12
BARBARA HAWKINS ELEMENTARY SCHOOL,MIAMI-DADE,k12
BARDMOOR ELEMENTARY SCHOOL,PINELLAS,k12
BARDMOOR YMCA PRESCHOOL ACADEMY,PINELLAS,k12
BARRINGTON MIDDLE SCHOOL,HILLSBOROUGH,k12
BARRON COLLIER HIGH SCHOOL,COLLIER,k12
BARRY UNIVERSITY,MIAMI-DADE,university
BARTON ELEMENTARY SCHOOL,PALM BEACH,k12
BARTOW ELEMENTARY SCHOOL ACADEMY,POLK,k12
BARTOW MIDDLE SCHOOL,POLK,k12
BARTOW SENIOR HIGH SCHOOL,POLK,k12
BARTRAM SPRINGS ELEMENTARY SCHOOL,DUVAL,k12
BARTRAM TRAIL HIGH SCHOOL,ST. JOHNS,k12
BAUDER ELEMENTARY SCHOOL,PINELLAS,k12
BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY,BROWARD,k12
BAY CREST ELEMENTARY SCHOOL,HILLSBOROUGH,k12
BAY DISTRICT OFFICE,BAY,k12
BAY HAVEN CHARTER ACADEMY,BAY,k12
BAY HAVEN CHARTER MIDDLE SCHOOL,BAY,k12
BAY HAVEN SCHOOL OF BASICS PLUS,SARASOTA,k12
BAY HIGH SCHOOL,BAY,k12
BAY LAKE ELEMENTARY SCHOOL,ORANGE,k12
BAY MEADOWS ELEMENTARY SCHOOL,ORANGE,k12
BAY PINES LUTHERAN SCHOOL,PINELLAS,k12
BAY POINT ELEMENTARY SCHOOL,PINELLAS,k12
BAY POINT MIDDLE SCHOOL,PINELLAS,k12
BAY SCHOOL,WALTON,k12
BAY VISTA FUNDAMENTAL ELEMENTARY SCHOOL,PINELLAS,k12
BAYAAN ACADEMY TEMPLE TERRACE,HILLSBOROUGH,k12
BAYCREST ACADEMY FOR CREATIVE LEARNING,HILLSBOROUGH,k12
BAYMEADOWS BAPTIST DAY SCHOOL,DUVAL,k12
BAYONET POINT MIDDLE SCHOOL,PASCO,k12
BAYSHORE CHRISTIAN SCHOOL,HILLSBOROUGH,k12
BAYSHORE ELEMENTARY SCHOOL,ST. LUCIE,k12
BAYSHORE ELEMENTARY SCHOOL,LEE,k12
BAYSHORE ELEMENTARY SCHOOL,MANATEE,k12
BAYSHORE HIGH SCHOOL,MANATEE,k12
BAYSIDE HIGH SCHOOL,PINELLAS,k12
BAYSIDE HIGH SCHOOL,BREVARD,k12
BAYVIEW ELEMENTARY SCHOOL,DUVAL,k12
BAYVIEW ELEMENTARY SCHOOL,BROWARD,k12
BB C CHRISTIAN ACADEMY,ESCAMBIA,k12
BB INTERNATIONAL PRESCHOOL AND KINDERGARTEN,BROWARD,k12
BEACHES CHAPEL SCHOOL,DUVAL,k12
BEACHLAND ELEMENTARY SCHOOL,INDIAN RIVER,k12
BEACHSIDE MONTESSORI VILLAGE,BROWARD,k12
BEACON COLLEGE,LAKE,university
BEACON COLLEGE PREPARATORY,MIAMI-DADE,k12
BEACON COVE INTERMEDIATE SCHOOL,PALM BEACH,k12
BEACON HIGH SCHOOL,COLLIER,k12
BEACON HILL CENTER INC.,MIAMI-DADE,k12
BEACON HILL PREPARATORY ACADEMY,MIAMI-DADE,k12
BEACON HILL SCHOOL INC,BROWARD,k12
BEACON OF HOPE CHRISTIAN SCHOOL,ST. JOHNS,k12
BEAR CREEK ELEMENTARY SCHOOL,PINELLAS,k12
BEAR LAKE ELEMENTARY SCHOOL,SEMINOLE,k12
BEAR LAKE MONTESSORI ACADEMY,SEMINOLE,k12
BEAR LAKES MIDDLE SCHOOL,PALM BEACH,k12
BEAUCLERC ELEMENTARY SCHOOL,DUVAL,k12
BEIS-CHANA HIGH SCHOOL,MIAMI-DADE,k12
BEL-AIRE ELEMENTARY SCHOOL,MIAMI-DADE,k12
BELCHER ELEMENTARY SCHOOL,PINELLAS,k12
BELEN JESUIT PREPARATORY SCHOOL,MIAMI-DADE,k12
BELIEVERS ACADEMY,PALM BEACH,k12
BELL CREEK ACADEMY HIGH SCHOOL,HILLSBOROUGH,k12
BELL ELEMENTARY SCHOOL,GILCHRIST,k12
BELL HIGH SCHOOL,GILCHRIST,k12
BELL SHOALS BAPTIST ACADEMY,HILLSBOROUGH,k12
BELLALAGO CHARTER ACADEMY,OSCEOLA,k12
BELLAMY ELEMENTARY SCHOOL,HILLSBOROUGH,k12
BELLASA PROFESSIONAL INSTITUTE,MIAMI-DADE,university
BELLE GLADE CHRISTIAN ACADEMY,PALM BEACH,k12
BELLE GLADE ELEMENTARY SCHOOL,PALM BEACH,k12
BELLE TERRE ELEMENTARY SCHOOL,FLAGLER,k12
BELLEAIR ELEMENTARY SCHOOL,PINELLAS,k12
BELLEVIEW CHRISTIAN ACADEMY,MARION,k12
BELLEVIEW ELEMENTARY SCHOOL,MARION,k12
BELLEVIEW HIGH SCHOOL,MARION,k12
BELLEVIEW MIDDLE SCHOOL,MARION,k12
BELLEVIEW-SANTOS ELEMENTARY SCHOOL,MARION,k12
BELLVIEW ELEMENTARY SCHOOL,ESCAMBIA,k12
BELLVIEW MIDDLE SCHOOL,ESCAMBIA,k12
BELMONT ACADEMY,COLUMBIA,k12
BELMONT ELEMENTARY SCHOOL,HILLSBOROUGH,k12
BELVEDERE ELEMENTARY SCHOOL,PALM BEACH,k12
BEN GAMLA CHARTER SCHOOL,MIAMI-DADE,k12
BEN GAMLA CHARTER SCHOOL,BROWARD,k12
BEN GAMLA CHARTER SCHOOL NORTH CAMPUS,BROWARD,k12
BEN GAMLA CHARTER SCHOOL SOUTH BROWARD,BROWARD,k12
BEN GAMLA PREPARATORY ACADEMY,BROWARD,k12
BEN GAMLA-PALM BEACH,PALM BEACH,k12
BEN HILL GRIFFIN JR ELEMENTARY SCHOOL,POLK,k12
BEN HILL MIDDLE SCHOOL,HILLSBOROUGH,k12
BEN SHEPPARD ELEMENTARY SCHOOL,MIAMI-DADE,k12
BENE'S CAREER ACADEMY,PASCO,university
BENEVA LAKE HEALTHCARE,SARASOTA,university
BENITO MIDDLE SCHOOL,HILLSBOROUGH,k12
BENJAMIN FRANKLIN K-8 CENTER,MIAMI-DADE,k12
BENNETT C RUSSELL ELEMENTARY SCHOOL,SANTA ROSA,k12
BENNETT ELEMENTARY SCHOOL,BROWARD,k12
BENOIST FARMS ELEMENTARY SCHOOL,PALM BEACH,k12
BENT TREE ELEMENTARY SCHOOL,MIAMI-DADE,k12
BENTLEY ELEMENTARY SCHOOL,SEMINOLE,k12
BEREAN CHRISTIAN SCHOOL,PALM BEACH,k12
BERKELEY PREPARATORY SCHOOL,HILLSBOROUGH,k12
BERKLEY ACCELERATED MIDDLE SCHOOL,POLK,k12
BERKLEY ELEMENTARY SCHOOL,POLK,k12
BERKSHIRE ELEMENTARY SCHOOL,PALM BEACH,k12
BERRYHILL ELEMENTARY SCHOOL,SANTA ROSA,k12
BERYL WISDOM ADVENTIST SCHOOL,ORANGE,k12
BESSEY CREEK ELEMENTARY SCHOOL,MARTIN,k12
BETA,ORANGE,k12
BETH JACOB HIGH SCHOOL INC.,MIAMI-DADE,k12
BETH MOSHE EARLY CHILDHOOD CENTER,MIAMI-DADE,k12
BETHANY CHRISTIAN SCHOOL,BREVARD,k12
BETHANY CHRISTIAN SCHOOL,BROWARD,k12
BETHANY LEARNING ACADEMY,ORANGE,k12
BETHANY SCHOOL,ST. LUCIE,k12
BETHEL CHRISTIAN ACADEMY,LEON,k12
BETHEL COMMUNITY CHRISTIAN SCHOOL,PINELLAS,k12
BETHESDA COLLEGE OF HEALTH AND SCIENCES,PALM BEACH,university
BETHLEHEM HIGH SCHOOL,HOLMES,k12
BETHLEHEM JUNIOR ACADEMY,BROWARD,k12
BETHUNE ACADEMY,POLK,k12
BETHUNE-COOKMAN UNIVERSITY,VOLUSIA,university
BETTER LIFE ACADEMY - SUMTER,SUMTER,k12
BETTON HILLS PREPARATORY SCHOOL,LEON,k12
BEULAH ACADEMY OF SCIENCE,ESCAMBIA,k12
