FID,SchoolSystem,AltName,InstructionalDelivery,Address,Submission_Date,WeekOf,TotalPositive_lbl,TotalPositive_ALL,Subregion
18164,Dallas County,Dallas County School District,"In-person, virtual and blended","429 Lauderdale St Selma, AL, 36701 - 4581",2021-02-23,9,Less than 5,848.0,Dallas County
18167,Decatur City,Decatur City School District,"In-person, virtual and blended","302 4th Ave NE Decatur, AL, 35601 - 1972",2021-02-23,9,        10,848.0,Morgan County
18169,DeKalb County,DeKalb County School District,In-person and virtual,"306 Main St W Rainsville, AL, 35986 - 1668",2021-02-23,9,         8,848.0,DeKalb County
18168,Demopolis City,Demopolis City School District,"In-person, virtual and blended","609 South Cedar Avenue Demopolis, AL, 36732 - 0609",2021-02-23,9,0,848.0,Marengo County
18165,Dothan City,Dothan City School District,In-person and virtual,"500 Dusy Street Dothan, AL, 36301 - 2506",2021-02-23,9,Less than 5,848.0,Houston County
18166,Elba City,Elba City School District,In-person and virtual,"131 Tiger Dr Elba, AL, 36323 - 4019",2021-02-23,9,Less than 5,848.0,Coffee County
18174,Elmore County,Elmore County School District,In-person and virtual,"100 H. H. Robison Drive Wetumpka, AL, 36092 - 2722",2021-02-23,9,        26,848.0,Elmore County
18171,Enterprise City,Enterprise City School District,In-person and virtual,"220 Hutchinson St Enterprise, AL, 36330 - 1899",2021-02-23,9,        11,848.0,Coffee County
18172,Escambia County,Escambia County School District,"In-person, virtual and blended","301 Belleville Ave Brewton, AL, 36426 - 0000",2021-02-23,9,Less than 5,848.0,Escambia County
18170,Etowah County,Etowah County School District,In-person and virtual,"3200 W Meighan Blvd Gadsden, AL, 35904 - 1732",2021-02-23,9,        10,848.0,Etowah County
18181,Eufaula City,Eufaula City School District,In-person and virtual,"333 State Docks Road Eufaula, AL, 36027 - 1450",2021-02-23,9,        10,848.0,Barbour County
18173,Fairfield City,Fairfield City School District,"In-person, virtual and blended","6405 Ave D Fairfield, AL, 35064 - 0110",2021-02-23,9,Less than 5,848.0,Jefferson County
18175,Fayette County,Fayette County School District,"In-person, virtual and blended","103 First Ave NW Fayette, AL, 35555 - 0686",2021-02-23,9,Less than 5,848.0,Fayette County
18177,Florence City,Florence City School District,In-person and virtual,"102 S. Court Street Florence, AL, 35630 - 6024",2021-02-23,9,0,848.0,Lauderdale County
18182,Fort Payne City,Fort Payne City School District,"In-person, virtual and blended","205 45th St NE Fort Payne, AL, 35967 - 4011",2021-02-23,9,Less than 5,848.0,DeKalb County
18176,Franklin County,Franklin County School District,In-person and virtual,"500 Coffee Ave NE Russellville, AL, 35653 - 0000",2021-02-23,9,Less than 5,848.0,Franklin County
18178,Gadsden City,Gadsden City School District,In-person and virtual,"1026 Chestnut St Gadsden, AL, 35901 - 0000",2021-02-23,9,         6,848.0,Etowah County
18179,Geneva City,Geneva City School District,In-person and virtual,"511 Panther Drive Geneva, AL, 36340 - 1407",2021-02-24,9,Less than 5,848.0,Geneva County
18180,Geneva County,Geneva County School District,In-person and virtual,"606 S. Academy St Geneva, AL, 36340 - 0250",2021-02-23,9,         9,848.0,Geneva County
18183,Greene County,Greene County School District,Virtual and blended,"220 Main St Eutaw, AL, 35462 - 1002",2021-02-23,9,0,848.0,Greene County
18185,Gulf Shores City,Gulf Shores City School District,In-person and virtual,"300 East 16th Ave Gulf Shores, AL 36542",2021-02-23,9,Less than 5,848.0,Baldwin County
18195,Guntersville City,Guntersville City School District,In-person and virtual,"4200 Highway 79 South Guntersville, AL, 35976 - 0000",2021-02-23,9,Less than 5,848.0,Marshall County
18184,Hale County,Hale County School District,In-person and virtual,"1115 Powers St Greensboro, AL, 36744 - 1219",2021-02-23,9,Less than 5,848.0,Hale County
18188,Haleyville City,Haleyville City School District,In-person and virtual,"2011 20th St Haleyville, AL, 35565 - 1959",2021-02-24,9,0,848.0,Winston County
18186,Hartselle City,Hartselle City School District,In-person and virtual,"305 College St NE Hartselle, AL, 35640 - 2357",2021-02-23,9,         5,848.0,Morgan County
18187,Henry County,Henry County School District,"In-person, virtual and blended","300 N. Trawick Street Abbeville, AL, 36310 - 0000",2021-02-23,9,Less than 5,848.0,Henry County
18190,Homewood City,Homewood City School District,"In-person, virtual and blended","450 Dale Avenue Homewood, AL, 35209 - 3401",2021-02-23,9,         5,848.0,Jefferson County
18189,Hoover City,Hoover City School District,"In-person, virtual and blended","2810 Metropolitan Way Hoover, AL, 35243 - 2944",2021-02-23,9,        32,848.0,Jefferson County
18127,Houston County,Houston County School District,In-person and virtual,"404 West Washington St. Dothan, AL, 36302 - 2540",2021-02-23,9,         6,848.0,Houston County
18191,Huntsville City,Huntsville City School District,In-person and virtual,"200 White St Huntsville, AL, 35801 - 4152",2021-02-23,9,        27,848.0,Madison County
18264,i3 Academy,i3 Academy School District,In-person and virtual,"230 49th St N, Birmingham, AL 35212",2021-02-23,9,Less than 5,848.0,Jefferson County
18192,Jackson County,Jackson County School District,In-person and virtual,"16003 Al Hwy 35 Scottsboro, AL, 35768 - 0000",2021-02-23,9,         7,848.0,Jackson County
18193,Jacksonville City,Jacksonville City School District,In-person and virtual,"123 College St SW Jacksonville, AL, 36265 - 2154",2021-02-23,9,Less than 5,848.0,Calhoun County
18196,Jasper City,Jasper City School District,"In-person, virtual and blended","110 W 17th St Jasper, AL, 35501 - 0000",2021-02-23,9,Less than 5,848.0,Walker County
18198,Jefferson County,Jefferson County School District,Virtual and blended,"2100 18th Street S Birmingham, AL, 35209 - 1891",2021-02-23,9,        38,848.0,Jefferson County
18194,Lamar County,Lamar County School District,"In-person, virtual and blended","150 Butler Cir Vernon, AL, 35592 - 1379",2021-02-23,9,Less than 5,848.0,Lamar County
18197,Lanett City,Lanett City School District,In-person and virtual,"105 North Lanier Ave Lanett, AL, 36863 - 2455",2021-02-23,9,0,848.0,Chambers County
18216,Lauderdale County,Lauderdale County School District,In-person and virtual,"355 County Road 61 Florence, AL, 35634 - 0000",2021-02-23,9,Less than 5,848.0,Lauderdale County
18199,Lawrence County,Lawrence County School District,"In-person, virtual and blended","14131 Market St Moulton, AL, 35650 - 1407",2021-02-23,9,Less than 5,848.0,Lawrence County
18201,LEAD Academy,LEAD Academy (Entire System),In-person and virtual,2897 Eastern Blvd. Montgomery Al 36113,2021-02-23,9,0,848.0,Montgomery County
18203,Lee County,Lee County School District,"In-person, virtual and blended","2410 Society Hill Road Opelika, AL, 36804 - 0000",2021-02-23,9,        16,848.0,Lee County
18200,Leeds City,Leeds City School District,"In-person, virtual and blended","1404 8th Street Leeds, AL, 35094 - 0000",2021-02-23,9,Less than 5,848.0,Jefferson County
18202,Legacy Prep,Legacy Prep (Entire System),In-person and virtual,"1500 Daniel Payne Drive  Birmingham , al 35214",2021-02-23,9,0,848.0,Jefferson County
18204,Limestone County,Limestone County School District,In-person and virtual,"300 S Jefferson St Athens, AL, 35611 - 2549",2021-02-24,9,         9,848.0,Limestone County
18205,Linden City,Linden City School District,In-person and virtual,"209 N Main St Linden, AL, 36748 - 0609",2021-02-23,9,Less than 5,848.0,Marengo County
18207,Lowndes County,Lowndes County School District,Virtual,"80 Commerce Street S Hayneville, AL, 36040 - 0000",2021-02-23,9,Less than 5,848.0,Lowndes County
18211,Macon County,Macon County School District,In-person and virtual," 501 S. School St Tuskegee, AL, 36083 - 0090",2021-02-23,9,0,848.0,Macon County
18206,Madison City,Madison City School District,In-person and virtual,"211 Celtic Drive Madison, AL, 35758 - 1615",2021-02-23,9,         8,848.0,Madison County
