school,county,school_new,county_new
ACADEMY PREP CENTER OF ST. PETERSBURG,PINELLAS,ACADEMY PREP CENTER OF ST. PETERSBURG,PINELLAS
ACADEMY PREP CENTER OF TAMPA INC.,HILLSBOROUGH,ACADEMY PREP CENTER OF TAMPA INC.,HILLSBOROUGH
ACADEMY SILVER PALMS,UNKNOWN,SOMERSET ACADEMY SILVER PALMS,MIAMI-DADE
ACCELERATION ACADEMIES LLC,MIAMI-DADE,,
ACCELERATION ACADEMY,ST. LUCIE,ACCELERATION ACADEMY,ST. LUCIE
ACCELERATION EAST,ORANGE,ACCELERATION EAST,ORANGE
ACCELERATION WEST,ORANGE,ACCELERATION WEST,ORANGE
ACCESS CHARTER,ORANGE,ACCESS CHARTER,ORANGE
ACE ACADEMY,MIAMI-DADE,ACE ACADEMY SCHOOL,MIAMI-DADE
ACE ACADEMY SCHOOL,MIAMI-DADE,ACE ACADEMY SCHOOL,MIAMI-DADE
ACE ACADEMY SOUTH,MIAMI-DADE,ACE ACADEMY SOUTH,MIAMI-DADE
ACHIEVE CENTER AT RICHEY,PASCO,ACHIEVE CENTER AT RICHEY,PASCO
ACHIEVE CENTER AT RICHEY,UNKNOWN,ACHIEVE CENTER AT RICHEY,PASCO
ACHIEVE CENTER OF PASCO,PASCO,ACHIEVE CENTER OF PASCO,PASCO
ACHIEVEMENT ACADEMY,POLK,ACHIEVEMENT ACADEMY,POLK
ACHIEVEMENT CENTER OF SARASOTA THE,SARASOTA,ACHIEVEMENT CENTER OF SARASOTA THE,SARASOTA
ACREAGE PINES ELEMENTARY SCHOOL,PALM BEACH,ACREAGE PINES ELEMENTARY SCHOOL,PALM BEACH
ACTON ACADEMY CENTRAL MIAMI,MIAMI-DADE,ACTON ACADEMY CENTRAL MIAMI,MIAMI-DADE
ACTS ACADEMY,LEON,ACTS ACADEMY,LEON
ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE,ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE
ACUPUNCTURE MASSAGE COLLEGE,MIAMI-DADE,ACUPUNCTURE AND MASSAGE COLLEGE,MIAMI-DADE
ADA MERRITT K-8 CENTER,MIAMI-DADE,ADA MERRITT K-8 CENTER,MIAMI-DADE
ADAMS MIDDLE SCHOOL,HILLSBOROUGH,ADAMS MIDDLE SCHOOL,HILLSBOROUGH
ADDIE R LEWIS SCHOOL,OKALOOSA,ADDIE R. LEWIS SCHOOL,OKALOOSA
ADDIE R. LEWIS SCHOOL,OKALOOSA,ADDIE R. LEWIS SCHOOL,OKALOOSA
ADDISON MIZNER ELEMENTARY SCHOOL,PALM BEACH,ADDISON MIZNER ELEMENTARY SCHOOL,PALM BEACH
ADF AIRWAYS FLIGHT SCHOOL,MIAMI-DADE,ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE
ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE,ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE
ADF AITWAY,UNKNOWN,ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE
ADMIRAL FARRAGUT ACADEMY,PINELLAS,ADMIRAL FARRAGUT ACADEMY,PINELLAS
ADS AIRWAYS,UNKNOWN,ADF AIRWAYS MIAMI FLIGHT SCHOOL,MIAMI-DADE
ADULT EDUCATION,LEE,ADULT EDUCATION CENTER,LEE
ADULT EDUCATION CENTER,UNKNOWN,ADULT EDUCATION CENTER,LEE
ADULT EDUCATION CENTER OF PALM BEACH,PALM BEACH,ADULT EDUCATION CENTER OF PALM BEACH,PALM BEACH
ADULT LEARNING CENTER OSCEOLA,OSCEOLA,ADULT LEARNING CENTER OSCEOLA,OSCEOLA
ADULT/COMMUNITY EDUCATION,WAKULLA,ADULT/COMMUNITY EDUCATION,WAKULLA
ADVANCE ACHIEVERS ACADEMY,MIAMI-DADE,ADVANCE ACHIEVERS ACADEMY,MIAMI-DADE
ADVANCE LEARNING ACADEMY,SEMINOLE,ADVANCE LEARNING ACADEMY,SEMINOLE
ADVANCE PREP ACADEMY,POLK,ADVANCE PREP ACADEMY,POLK
ADVANCED SACRED HOPE ACADEMY,OKALOOSA,ADVANCED SACRED HOPE ACADEMY,OKALOOSA
ADVANTAGE ACADEMY OF HILLSBOROUGH,HILLSBOROUGH,ADVANTAGE ACADEMY OF HILLSBOROUGH,HILLSBOROUGH
