precinct,office,party,mode,votes,city,county,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic
6,Governor,all others,total,5,Acton,Middlesex,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,882,Acushnet,Bristol,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,341,Acushnet,Bristol,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,46,Acushnet,Bristol,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,0,Acushnet,Bristol,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,republican,total,1126,Acushnet,Bristol,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,democrat,total,338,Acushnet,Bristol,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,blanks,total,52,Acushnet,Bristol,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,all others,total,8,Acushnet,Bristol,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,republican,total,1134,Acushnet,Bristol,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,democrat,total,316,Acushnet,Bristol,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,blanks,total,50,Acushnet,Bristol,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,all others,total,4,Acushnet,Bristol,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,294,Adams,Berkshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,243,Adams,Berkshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,11,Adams,Berkshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,0,Adams,Berkshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,republican,total,364,Adams,Berkshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,democrat,total,268,Adams,Berkshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,blanks,total,22,Adams,Berkshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,all others,total,0,Adams,Berkshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,republican,total,396,Adams,Berkshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,democrat,total,241,Adams,Berkshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,blanks,total,22,Adams,Berkshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,all others,total,1,Adams,Berkshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,republican,total,325,Adams,Berkshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,democrat,total,241,Adams,Berkshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,blanks,total,7,Adams,Berkshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,all others,total,1,Adams,Berkshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,republican,total,453,Adams,Berkshire,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,democrat,total,284,Adams,Berkshire,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,blanks,total,18,Adams,Berkshire,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,all others,total,0,Adams,Berkshire,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,republican,total,974,Agawam,Hampden,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,democrat,total,252,Agawam,Hampden,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,blanks,total,25,Agawam,Hampden,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
1,Governor,all others,total,2,Agawam,Hampden,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,republican,total,1418,Agawam,Hampden,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,democrat,total,274,Agawam,Hampden,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,blanks,total,54,Agawam,Hampden,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
2,Governor,all others,total,3,Agawam,Hampden,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,republican,total,1127,Agawam,Hampden,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,democrat,total,281,Agawam,Hampden,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,blanks,total,48,Agawam,Hampden,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
3,Governor,all others,total,2,Agawam,Hampden,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,republican,total,959,Agawam,Hampden,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,democrat,total,249,Agawam,Hampden,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,blanks,total,27,Agawam,Hampden,Blanks,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
4,Governor,all others,total,7,Agawam,Hampden,All Others,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,republican,total,1389,Agawam,Hampden,Baker and Polito,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
5,Governor,democrat,total,307,Agawam,Hampden,Gonzalez and Palfrey,statewide,state,2018,gen,Massachusetts,False,False,MA,25,14,3
