school	county	school_new	county_new	"##=IF(ISERROR(MATCH(F2,A:A,0)),""Not found"",""Found"")"
ESTHER'S SCHOOL INC - SPRING HILL	HERNANDO	ESTHER'S SCHOOL INC - SPRING HILL	HERNANDO	
EXPLORER K-8	HERNANDO	EXPLORER K-8	HERNANDO	
FAITH CHRISTIAN ACADEMY	HERNANDO	FAITH CHRISTIAN ACADEMY	HERNANDO	
FIRST UNITED METHODIST SCHOOL CENTER	HERNANDO	FIRST UNITED METHODIST SCHOOL CENTER	HERNANDO	
FOX CHAPEL MIDDLE SCHOOL	HERNANDO	FOX CHAPEL MIDDLE SCHOOL	HERNANDO	
FRANK W. SPRINGSTEAD HIGH SCHOOL	HERNANDO	FRANK W. SPRINGSTEAD HIGH SCHOOL	HERNANDO	
FRANK W. SPRINGSTEAD HIGH/ADUL	HERNANDO	FRANK W. SPRINGSTEAD HIGH SCHOOL	HERNANDO	
GOLDEN BRANCH CHRISTIAN ACADEMY	HERNANDO	GOLDEN BRANCH CHRISTIAN ACADEMY	HERNANDO	
GULF COAST ACADEMY OF SCIENCE AND TECHNOLOGY	HERNANDO	GULF COAST ACADEMY OF SCIENCE AND TECHNOLOGY	HERNANDO	
GULF COAST ELEMENTARY SCHOOL	HERNANDO	GULF COAST ELEMENTARY SCHOOL	HERNANDO	
HERNANDO CHRISTIAN ACADEMY	HERNANDO	HERNANDO CHRISTIAN ACADEMY	HERNANDO	
HERNANDO COUNTY ADULT EDUCATION	HERNANDO	HERNANDO COUNTY ADULT EDUCATION	HERNANDO	
HERNANDO DISTRICT OFFICE	HERNANDO	HERNANDO DISTRICT OFFICE	HERNANDO	
HERNANDO HIGH SCHOOL	HERNANDO	HERNANDO HIGH SCHOOL	HERNANDO	
HERNANDO HIGH SCHOOL/ADULT EDUCATION	HERNANDO	HERNANDO HIGH SCHOOL	HERNANDO	
JOHN D. FLOYD ELEMENTARY SCHOOL	HERNANDO	JOHN D. FLOYD ELEMENTARY SCHOOL	HERNANDO	
LIFE PRIMARY SCHOOL	HERNANDO	LIFE PRIMARY SCHOOL	HERNANDO	
METHODIST SCHOOL CENTER - BROOKSVILLE	HERNANDO	METHODIST SCHOOL CENTER - BROOKSVILLE	HERNANDO	
MOTON ELEMENTARY SCHOOL	HERNANDO	MOTON ELEMENTARY SCHOOL	HERNANDO	
NATURE COAST TECHNICAL HIGH	HERNANDO	NATURE COAST TECHNICAL HIGH	HERNANDO	
NOTRE DAME CATHOLIC SCHOOL	HERNANDO	NOTRE DAME CATHOLIC SCHOOL	HERNANDO	
PASCO HERNANDO STATE COLLEGE - NORTH CAMPUS	HERNANDO	PASCO-HERNANDO STATE COLLEGE - NORTH CAMPUS	HERNANDO	
PASCO HERNANDO STATE COLLEGE - SPRING HILL CAMPUS	HERNANDO	PASCO-HERNANDO STATE COLLEGE - SPRING HILL CAMPUS	HERNANDO	
PASCO HERNANDO STATE COLLEGE-NORTH	HERNANDO	PASCO-HERNANDO STATE COLLEGE - NORTH CAMPUS	HERNANDO	
PASCO HERNANDO STATE COLLEGE-SPRING HILL	HERNANDO	PASCO-HERNANDO STATE COLLEGE - SPRING HILL CAMPUS	HERNANDO	
PINE GROVE ELEMENTARY SCHOOL	HERNANDO	PINE GROVE ELEMENTARY SCHOOL	HERNANDO	
POWELL MIDDLE SCHOOL	HERNANDO	POWELL MIDDLE SCHOOL	HERNANDO	
QUEEN OF ALL SAINTS ACADEMY	HERNANDO	QUEEN OF ALL SAINTS ACADEMY	HERNANDO	
RIDGE MANOR CHRISTIAN ACADEMY	HERNANDO	RIDGE MANOR CHRISTIAN ACADEMY	HERNANDO	
SPRING HILL CHRISTIAN ACADEMY	HERNANDO	SPRING HILL CHRISTIAN ACADEMY	HERNANDO	
SPRING HILL ELEMENTARY SCHOOL	HERNANDO	SPRING HILL ELEMENTARY SCHOOL	HERNANDO	
SUNCOAST ELEMENTARY SCHOOL	HERNANDO	SUNCOAST ELEMENTARY SCHOOL	HERNANDO	
SUNCOAST TECHNICAL EDUCATIONAL CENTER - MAIN CAMPU	HERNANDO	SUNCOAST TECHNICAL EDUCATIONAL CENTER - MAIN CAMPUS	HERNANDO	
SUNCOAST TECHNICAL EDUCATIONAL CENTER - MAIN CAMPUS	HERNANDO	SUNCOAST TECHNICAL EDUCATIONAL CENTER - MAIN CAMPUS	HERNANDO	
WEEKI WACHEE HIGH SCHOOL	HERNANDO	WEEKI WACHEE HIGH SCHOOL	HERNANDO	
WEST HERNANDO CHRISTIAN SCHOOL	HERNANDO	WEST HERNANDO CHRISTIAN SCHOOL	HERNANDO	
WEST HERNANDO MIDDLE SCHOOL	HERNANDO	WEST HERNANDO MIDDLE SCHOOL	HERNANDO	
WESTSIDE ELEMENTARY SCHOOL	HERNANDO	WESTSIDE ELEMENTARY SCHOOL	HERNANDO	
WINDING WATERS K-8	HERNANDO	WINDING WATERS K-8	HERNANDO	
AVON ELEMENTARY SCHOOL	HIGHLANDS	AVON ELEMENTARY SCHOOL	HIGHLANDS	
AVON PARK HIGH SCHOOL	HIGHLANDS	AVON PARK HIGH SCHOOL	HIGHLANDS	
AVON PARK MIDDLE SCHOOL	HIGHLANDS	AVON PARK MIDDLE SCHOOL	HIGHLANDS	
CORNERSTONE CHRISTIAN ACADEMY	HIGHLANDS	CORNERSTONE CHRISTIAN ACADEMY	HIGHLANDS	
CRACKER TRAIL ELEMENTARY SCHOOL	HIGHLANDS	CRACKER TRAIL ELEMENTARY SCHOOL	HIGHLANDS	
FRED WILD ELEMENTARY SCHOOL	HIGHLANDS	FRED WILD ELEMENTARY SCHOOL	HIGHLANDS	
GREAT COMMISSION BIBLE INSTITUTE	HIGHLANDS	GREAT COMMISSION BIBLE INSTITUTE	HIGHLANDS	
HEARTLAND CHRISTIAN SCHOOL	HIGHLANDS	HEARTLAND CHRISTIAN SCHOOL	HIGHLANDS	
HIGHLANDS COUNTY HOSPITAL/HOMEBOUND PROGRAM	HIGHLANDS	HIGHLANDS COUNTY HOSPITAL/HOMEBOUND PROGRAM	HIGHLANDS	
HIGHLANDS DISTRICT OFFICE	HIGHLANDS	HIGHLANDS DISTRICT OFFICE	HIGHLANDS	
HILL-GUSTAT MIDDLE SCHOOL	HIGHLANDS	HILL-GUSTAT MIDDLE SCHOOL	HIGHLANDS	
INDEPENDENT BAPTIST ACADEMY	HIGHLANDS	INDEPENDENT BAPTIST ACADEMY	HIGHLANDS	
LAKE COUNTRY ELEMENTARY SCHOOL	HIGHLANDS	LAKE COUNTRY ELEMENTARY SCHOOL	HIGHLANDS	
LAKE PLACID ELEMENTARY SCHOOL	HIGHLANDS	LAKE PLACID ELEMENTARY SCHOOL	HIGHLANDS	
LAKE PLACID HIGH SCHOOL	HIGHLANDS	LAKE PLACID HIGH SCHOOL	HIGHLANDS	
LAKE PLACID MIDDLE SCHOOL	HIGHLANDS	LAKE PLACID MIDDLE SCHOOL	HIGHLANDS	
LAKEVIEW CHRISTIAN SCHOOL	HIGHLANDS	LAKEVIEW CHRISTIAN SCHOOL	HIGHLANDS	
MEMORIAL ELEMENTARY SCHOOL	HIGHLANDS	MEMORIAL ELEMENTARY SCHOOL	HIGHLANDS	
OASIS ADONAI ACADEMY	HIGHLANDS	OASIS ADONAI ACADEMY	HIGHLANDS	
PARK ELEMENTARY SCHOOL	HIGHLANDS	PARK ELEMENTARY SCHOOL	HIGHLANDS	
PARKVIEW PREP ACADEMY	HIGHLANDS	PARKVIEW PREP ACADEMY	HIGHLANDS	
SEBRING HIGH SCHOOL	HIGHLANDS	SEBRING HIGH SCHOOL	HIGHLANDS	
SEBRING MIDDLE SCHOOL	HIGHLANDS	SEBRING MIDDLE SCHOOL	HIGHLANDS	
SOUTH FL STATE	HIGHLANDS	SOUTH FLORIDA STATE COLLEGE	HIGHLANDS	
SOUTH FLORIDA STATE COLLEGE	HIGHLANDS	SOUTH FLORIDA STATE COLLEGE	HIGHLANDS	
ST. CATHERINE CATHOLIC SCHOOL	HIGHLANDS	ST. CATHERINE CATHOLIC SCHOOL	HIGHLANDS	
ST. CATHERINE CATHOLIC SCHOOL 2	HIGHLANDS	ST. CATHERINE CATHOLIC SCHOOL 2	HIGHLANDS	
SUN 'N LAKE ELEMENTARY SCHOOL	HIGHLANDS	SUN 'N LAKE ELEMENTARY SCHOOL	HIGHLANDS	
THE KINDERGARTEN LEARNING CENTER	HIGHLANDS	THE KINDERGARTEN LEARNING CENTER	HIGHLANDS	
WALKER MEMORIAL ACADEMY	HIGHLANDS	WALKER MEMORIAL ACADEMY	HIGHLANDS	
WOODLAWN ELEMENTARY SCHOOL	HIGHLANDS	WOODLAWN ELEMENTARY SCHOOL	HIGHLANDS	
POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER	HIGHPOLK	POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER HIGH	POLK	
2010 E HILLSBOROUGH AVE,	HILLSBOROUGH	ERWIN TECHNICAL COLLEGE	HILLSBOROUGH	
ACADEMY OF THE HOLY NAMES	HILLSBOROUGH	ACADEMY OF THE HOLY NAMES	HILLSBOROUGH	
ACADEMY PREP CENTER OF TAMPA INC.	HILLSBOROUGH	ACADEMY PREP CENTER OF TAMPA INC	HILLSBOROUGH	
ADAMS MIDDLE SCHOOL	HILLSBOROUGH	ADAMS MIDDLE SCHOOL	HILLSBOROUGH	
ADVANTAGE ACADEMY	HILLSBOROUGH	ADVANTAGE ACADEMY OF HILLSBOROUGH	HILLSBOROUGH	
ADVANTAGE ACADEMY OF HILLSBOROUGH	HILLSBOROUGH	ADVANTAGE ACADEMY OF HILLSBOROUGH	HILLSBOROUGH	
ALAFIA ELEMENTARY SCHOOL	HILLSBOROUGH	ALAFIA ELEMENTARY SCHOOL	HILLSBOROUGH	
ALEXANDER ELEMENTARY SCHOOL	HILLSBOROUGH	ALEXANDER ELEMENTARY SCHOOL	HILLSBOROUGH	
ALONSO HIGH SCHOOL	HILLSBOROUGH	ALONSO HIGH SCHOOL	HILLSBOROUGH	
ALTIERUS CAREER COLLEGE	HILLSBOROUGH	ALTIERUS CAREER COLLEGE	HILLSBOROUGH	
AMERICAN YOUTH ACADEMY INC.	HILLSBOROUGH	AMERICAN YOUTH ACADEMY INC	HILLSBOROUGH	
AMI KIDS TAMPA	HILLSBOROUGH	AMI KIDS TAMPA	HILLSBOROUGH	
AMI KIDS YES	HILLSBOROUGH	AMI KIDS YES	HILLSBOROUGH	
ANDERSON ELEMENTARY SCHOOL	HILLSBOROUGH	ANDERSON ELEMENTARY SCHOOL	HILLSBOROUGH	
APARICIO-LEVY TECHNICAL COLLEGE	HILLSBOROUGH	APARICIO-LEVY TECHNICAL COLLEGE	HILLSBOROUGH	
APOLLO BEACH ELEMENTARY SCHOOL	HILLSBOROUGH	APOLLO BEACH ELEMENTARY SCHOOL	HILLSBOROUGH	
ARMWOOD HIGH SCHOOL	HILLSBOROUGH	ARMWOOD HIGH SCHOOL	HILLSBOROUGH	
ART INSTITUTE OF TAMPA- A BRANCH OF MIAMI INTERNATION	HILLSBOROUGH	ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN	HILLSBOROUGH	
ART INSTITUTE OF TAMPA- A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN	HILLSBOROUGH	ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN	HILLSBOROUGH	
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATION	HILLSBOROUGH	ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN	HILLSBOROUGH	
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONA	HILLSBOROUGH	ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN	HILLSBOROUGH	
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL	HILLSBOROUGH	ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN	HILLSBOROUGH	
AVEDA INSTITUTE - BRANDON	HILLSBOROUGH	AVEDA INSTITUTE - BRANDON	HILLSBOROUGH	
BAILEY ELEMENTARY SCHOOL	HILLSBOROUGH	BAILEY ELEMENTARY SCHOOL	HILLSBOROUGH	
BALLAST POINT ELEMENTARY SCHOOL	HILLSBOROUGH	BALLAST POINT ELEMENTARY SCHOOL	HILLSBOROUGH	
BARRINGTON MIDDLE SCHOOL	HILLSBOROUGH	BARRINGTON MIDDLE SCHOOL	HILLSBOROUGH	
BAY CREST ELEMENTARY SCHOOL	HILLSBOROUGH	BAY CREST ELEMENTARY SCHOOL	HILLSBOROUGH	
BAYAAN ACADEMY TEMPLE TERRACE	HILLSBOROUGH	BAYAAN ACADEMY TEMPLE TERRACE	HILLSBOROUGH	
BAYCREST ACADEMY FOR CREATIVE LEARNING	HILLSBOROUGH	BAYCREST ACADEMY FOR CREATIVE LEARNING	HILLSBOROUGH	
BAYSHORE CHRISTIAN SCHOOL	HILLSBOROUGH	BAYSHORE CHRISTIAN SCHOOL	HILLSBOROUGH	
BEACH PARK SCHOOL	HILLSBOROUGH	BEACH PARK SCHOOL	HILLSBOROUGH	
BELL CREEK ACADEMY	HILLSBOROUGH	BELL CREEK ACADEMY HIGH SCHOOL	HILLSBOROUGH	
BELL CREEK ACADEMY HIGH SCHOOL	HILLSBOROUGH	BELL CREEK ACADEMY HIGH SCHOOL	HILLSBOROUGH	
BELL SHOALS BAPTIST ACADEMY	HILLSBOROUGH	BELL SHOALS BAPTIST ACADEMY	HILLSBOROUGH	
BELLAMY ELEMENTARY SCHOOL	HILLSBOROUGH	BELLAMY ELEMENTARY SCHOOL	HILLSBOROUGH	
BELMONT ELEMENTARY SCHOOL	HILLSBOROUGH	BELMONT ELEMENTARY SCHOOL	HILLSBOROUGH	
BENITO MIDDLE SCHOOL	HILLSBOROUGH	BENITO MIDDLE SCHOOL	HILLSBOROUGH	
BERKELEY PREPARATORY SCHOOL	HILLSBOROUGH	BERKELEY PREPARATORY SCHOOL	HILLSBOROUGH	
BEVIS ELEMENTARY SCHOOL	HILLSBOROUGH	BEVIS ELEMENTARY SCHOOL	HILLSBOROUGH	
BIBLE TRUTH MINISTRIES	HILLSBOROUGH	BIBLE TRUTH MINISTRIES	HILLSBOROUGH	
BING ELEMENTARY SCHOOL	HILLSBOROUGH	BING ELEMENTARY SCHOOL	HILLSBOROUGH	
BLAKE HIGH SCHOOL	HILLSBOROUGH	BLAKE HIGH SCHOOL	HILLSBOROUGH	
BLOOMINGDALE HIGH SCHOOL	HILLSBOROUGH	BLOOMINGDALE HIGH SCHOOL	HILLSBOROUGH	
BOWERS-WHITLEY CAREER CENTER	HILLSBOROUGH	BOWERS/WHITLEY ADULT & COMMUNITY CENTER	HILLSBOROUGH	
BOWERS/WHITLEY ADULT & COMMUNITY CENTER	HILLSBOROUGH	BOWERS/WHITLEY ADULT & COMMUNITY CENTER	HILLSBOROUGH	
BOYETTE SPRINGS ELEMENTARY SCHOOL	HILLSBOROUGH	BOYETTE SPRINGS ELEMENTARY SCHOOL	HILLSBOROUGH	
BRANDON ACADEMY LLC	HILLSBOROUGH	BRANDON ACADEMY LLC	HILLSBOROUGH	
BRANDON ADULT/COMMUNITY CENTER	HILLSBOROUGH	BRANDON ADULT/COMMUNITY CENTER	HILLSBOROUGH	
BRANDON EPIC 3 CENTER	HILLSBOROUGH	BRANDON EPIC 3 CENTER	HILLSBOROUGH	
BRANDON HIGH SCHOOL	HILLSBOROUGH	BRANDON HIGH SCHOOL	HILLSBOROUGH	
BRANDON HS	HILLSBOROUGH	BRANDON HIGH SCHOOL	HILLSBOROUGH	
BREWSTER TECHNICAL COLLEGE	HILLSBOROUGH	BREWSTER TECHNICAL COLLEGE	HILLSBOROUGH	
BRIDGEPREP ACADEMY OF RIVERVIEW	HILLSBOROUGH	BRIDGEPREP ACADEMY OF RIVERVIEW	HILLSBOROUGH	
BRIDGEPREP ACADEMY OF TAMPA	HILLSBOROUGH	BRIDGEPREP ACADEMY OF TAMPA	HILLSBOROUGH	
BROACH TAMPA	HILLSBOROUGH	BROACH TAMPA	HILLSBOROUGH	
BROOKER ELEMENTARY SCHOOL	HILLSBOROUGH	BROOKER ELEMENTARY SCHOOL	HILLSBOROUGH	
BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL	HILLSBOROUGH	BROOKS DEBARTOLO COLLEGIATE HIGH SCHOOL	HILLSBOROUGH	
BROWARD ELEMENTARY SCHOOL	HILLSBOROUGH	BROWARD ELEMENTARY SCHOOL	HILLSBOROUGH	
BRYAN ELEMENTARY SCHOOL	HILLSBOROUGH	BRYAN ELEMENTARY SCHOOL	HILLSBOROUGH	
BRYANT ELEMENTARY SCHOOL	HILLSBOROUGH	BRYANT ELEMENTARY SCHOOL	HILLSBOROUGH	
BUCHANAN MIDDLE SCHOOL	HILLSBOROUGH	BUCHANAN MIDDLE SCHOOL	HILLSBOROUGH	
BUCKHORN ELEMENTARY SCHOOL	HILLSBOROUGH	BUCKHORN ELEMENTARY SCHOOL	HILLSBOROUGH	
BURNETT MIDDLE SCHOOL	HILLSBOROUGH	BURNETT MIDDLE SCHOOL	HILLSBOROUGH	
BURNEY ELEMENTARY SCHOOL	HILLSBOROUGH	BURNEY ELEMENTARY SCHOOL	HILLSBOROUGH	
BURNS MIDDLE SCHOOL	HILLSBOROUGH	BURNS MIDDLE SCHOOL	HILLSBOROUGH	
CAMBRIDGE CHRISTIAN SCHOOL	HILLSBOROUGH	CAMBRIDGE CHRISTIAN SCHOOL	HILLSBOROUGH	
CAMINITI EXCEPTIONAL CENTER	HILLSBOROUGH	CAMINITI EXCEPTIONAL CENTER	HILLSBOROUGH	
CAMINITI PUBLIC SCHOOL	HILLSBOROUGH	CAMINITI PUBLIC SCHOOL	HILLSBOROUGH	
CANNELLA ELEMENTARY SCHOOL	HILLSBOROUGH	CANNELLA ELEMENTARY SCHOOL	HILLSBOROUGH	
CARROLLWOOD DAY SCHOOL	HILLSBOROUGH	CARROLLWOOD DAY SCHOOL	HILLSBOROUGH	
CARROLLWOOD ELEMENTARY SCHOOL	HILLSBOROUGH	CARROLLWOOD ELEMENTARY SCHOOL	HILLSBOROUGH	
CARVER EXCEPTIONAL CENTER	HILLSBOROUGH	CARVER EXCEPTIONAL CENTER	HILLSBOROUGH	
CECILE ESSRIG ELEMENTARY SCHOOL	HILLSBOROUGH	CECILE ESSRIG ELEMENTARY SCHOOL	HILLSBOROUGH	
CENTER ACADEMY-RIVERVIEW	HILLSBOROUGH	CENTER ACADEMY - RIVERVIEW	HILLSBOROUGH	
CENTRAL BAPTIST CHRISTIAN SCHOOL	HILLSBOROUGH	CENTRAL BAPTIST CHRISTIAN SCHOOL	HILLSBOROUGH	
CHAMBERLAIN ADULT/COMMUNITY CENTER	HILLSBOROUGH	CHAMBERLAIN ADULT/COMMUNITY CENTER	HILLSBOROUGH	
CHAMBERLAIN HIGH SCHOOL	HILLSBOROUGH	CHAMBERLAIN HIGH SCHOOL	HILLSBOROUGH	
CHANNELSIDE ACADEMY OF MATH AND SCIENCE	HILLSBOROUGH	CHANNELSIDE ACADEMY OF MATH AND SCIENCE	HILLSBOROUGH	
CHIARAMONTE ELEMENTARY SCHOOL	HILLSBOROUGH	CHIARAMONTE ELEMENTARY SCHOOL	HILLSBOROUGH	
CHILES ELEMENTARY SCHOOL	HILLSBOROUGH	CHILES ELEMENTARY SCHOOL	HILLSBOROUGH	
CHRIST THE KING CATHOLIC SCHOOL	HILLSBOROUGH	CHRIST THE KING CATHOLIC SCHOOL	HILLSBOROUGH	
CIMINO ELEMENTARY SCHOOL	HILLSBOROUGH	CIMINO ELEMENTARY SCHOOL	HILLSBOROUGH	
CITRUS PARK ELEMENTARY SCHOOL	HILLSBOROUGH	CITRUS PARK ELEMENTARY SCHOOL	HILLSBOROUGH	
CLAIR-MEL ELEMENTARY SCHOOL	HILLSBOROUGH	CLAIR-MEL ELEMENTARY SCHOOL	HILLSBOROUGH	
CLARK ELEMENTARY SCHOOL	HILLSBOROUGH	CLARK ELEMENTARY SCHOOL	HILLSBOROUGH	
CLAYWELL ELEMENTARY SCHOOL	HILLSBOROUGH	CLAYWELL ELEMENTARY SCHOOL	HILLSBOROUGH	
CLEVELAND ELEMENTARY SCHOOL	HILLSBOROUGH	CLEVELAND ELEMENTARY SCHOOL	HILLSBOROUGH	
COLEMAN MIDDLE SCHOOL	HILLSBOROUGH	COLEMAN MIDDLE SCHOOL	HILLSBOROUGH	
COLLINS ELEMENTARY SCHOOL	HILLSBOROUGH	COLLINS ELEMENTARY SCHOOL	HILLSBOROUGH	
COLSON ELEMENTARY SCHOOL	HILLSBOROUGH	COLSON ELEMENTARY SCHOOL	HILLSBOROUGH	
COMMUNITY MONTESSORI SCHOOL	HILLSBOROUGH	COMMUNITY MONTESSORI SCHOOL	HILLSBOROUGH	
CONCORDE CAREER INSTITUTE - TAMPA	HILLSBOROUGH	CONCORDE CAREER INSTITUTE - TAMPA	HILLSBOROUGH	
CONCORDE CAREER INSTITUTE-TAMPA	HILLSBOROUGH	CONCORDE CAREER INSTITUTE - TAMPA	HILLSBOROUGH	
CONGREGATION SCHAARAI ZEDEK	HILLSBOROUGH	CONGREGATION SCHAARAI ZEDEK	HILLSBOROUGH	
CORBETT PREPARATORY SCHOOL OF IDS	HILLSBOROUGH	CORBETT PREPARATORY SCHOOL OF IDS	HILLSBOROUGH	
CORK ELEMENTARY SCHOOL	HILLSBOROUGH	CORK ELEMENTARY SCHOOL	HILLSBOROUGH	
CORPUS CHRISTI CATHOLIC SCHOOL	HILLSBOROUGH	CORPUS CHRISTI CATHOLIC SCHOOL	HILLSBOROUGH	
CORR ELEMENTARY SCHOOL	HILLSBOROUGH	CORR ELEMENTARY SCHOOL	HILLSBOROUGH	
CREEKSIDE CHARTER ACADEMY	HILLSBOROUGH	CREEKSIDE CHARTER ACADEMY	HILLSBOROUGH	
CRESTWOOD ELEMENTARY SCHOOL	HILLSBOROUGH	CRESTWOOD ELEMENTARY SCHOOL	HILLSBOROUGH	
CRISTO REY TAMPA	HILLSBOROUGH	CRISTO REY TAMPA	HILLSBOROUGH	
CUTTINGEDGE LEARNING ACADEMY INC.	HILLSBOROUGH	CUTTINGEDGE LEARNING ACADEMY INC.	HILLSBOROUGH	
CYPRESS CREEK ELEMENTARY SCHOOL	HILLSBOROUGH	CYPRESS CREEK ELEMENTARY SCHOOL	HILLSBOROUGH	
DAVIDSEN MIDDLE SCHOOL	HILLSBOROUGH	DAVIDSEN MIDDLE SCHOOL	HILLSBOROUGH	
DAVIDSON MIDDLE SCHOOL	HILLSBOROUGH	DAVIDSEN MIDDLE SCHOOL	HILLSBOROUGH	
DAVIS ELEMENTARY	HILLSBOROUGH	DAVIS ELEMENTARY SCHOOL	HILLSBOROUGH	
DAVIS ELEMENTARY SCHOOL	HILLSBOROUGH	DAVIS ELEMENTARY SCHOOL	HILLSBOROUGH	
DEER PARK ELEMENTARY SCHOOL	HILLSBOROUGH	DEER PARK ELEMENTARY SCHOOL	HILLSBOROUGH	
DELIA SANCHEZ FULL SERVICE SCHOOL	HILLSBOROUGH	DELIA SANCHEZ FULL SERVICE SCHOOL	HILLSBOROUGH	
DESOTO ELEMENTARY SCHOOL	HILLSBOROUGH	DESOTO ELEMENTARY SCHOOL	HILLSBOROUGH	
DICKENSON ELEMENTARY SCHOOL	HILLSBOROUGH	DICKENSON ELEMENTARY SCHOOL	HILLSBOROUGH	
DOBY ELEMENTARY SCHOOL	HILLSBOROUGH	DOBY ELEMENTARY SCHOOL	HILLSBOROUGH	
DOROTHY THOMAS CENTER	HILLSBOROUGH	DOROTHY THOMAS CENTER	HILLSBOROUGH	
DOVER ELEMENTARY SCHOOL	HILLSBOROUGH	DOVER ELEMENTARY SCHOOL	HILLSBOROUGH	
DOWDELL MIDDLE MAGNET SCHOOL	HILLSBOROUGH	DOWDELL MIDDLE MAGNET SCHOOL	HILLSBOROUGH	
DR CARTER G WOODSON K-8 SCHOOL	HILLSBOROUGH	DR. CARTER G WOODSON K-8 SCHOOL	HILLSBOROUGH	
DR KIRAN C PATEL HIGH SCHOOL	HILLSBOROUGH	DR. KIRAN C PATEL HIGH SCHOOL	HILLSBOROUGH	
DUNBAR ELEMENTARY MAGNET SCHOOL	HILLSBOROUGH	DUNBAR ELEMENTARY SCHOOL MAGNET SCHOOL	HILLSBOROUGH	
DURANT HIGH SCHOOL	HILLSBOROUGH	DURANT HIGH SCHOOL	HILLSBOROUGH	
EAST BAY CHRISTIAN SCHOOL	HILLSBOROUGH	EAST BAY CHRISTIAN SCHOOL	HILLSBOROUGH	
EAST BAY HIGH SCHOOL	HILLSBOROUGH	EAST BAY HIGH SCHOOL	HILLSBOROUGH	
EAST TAMPA ACADEMY	HILLSBOROUGH	EAST TAMPA ACADEMY	HILLSBOROUGH	
EDISON ELEMENTARY SCHOOL	HILLSBOROUGH	EDISON ELEMENTARY SCHOOL	HILLSBOROUGH	
EGYPT LAKE ELEMENTARY SCHOOL	HILLSBOROUGH	EGYPT LAKE ELEMENTARY SCHOOL	HILLSBOROUGH	
EISENHOWER MIDDLE SCHOOL	HILLSBOROUGH	EISENHOWER MIDDLE SCHOOL	HILLSBOROUGH	
ERWIN TECHNICAL COLLEGE	HILLSBOROUGH	ERWIN TECHNICAL COLLEGE	HILLSBOROUGH	
ESSRIG ELEMENTARY SCHOOL	HILLSBOROUGH	ESSRIG ELEMENTARY SCHOOL	HILLSBOROUGH	
EVERGLADES UNIVERSITY - TAMPA	HILLSBOROUGH	EVERGLADES UNIVERSITY - TAMPA	HILLSBOROUGH	
EXCELSIOR PREP CHARTER SCHOOL	HILLSBOROUGH	EXCELSIOR PREP CHARTER SCHOOL	HILLSBOROUGH	
FAITH CHRISTIAN ACADEMY	HILLSBOROUGH	FAITH CHRISTIAN ACADEMY	HILLSBOROUGH	
FAITH OUTREACH ACADEMY	HILLSBOROUGH	FAITH OUTREACH ACADEMY	HILLSBOROUGH	
FAMILY OF CHRIST LUTHERAN SCHOOL	HILLSBOROUGH	FAMILY OF CHRIST LUTHERAN SCHOOL	HILLSBOROUGH	
FARNELL MIDDLE SCHOOL	HILLSBOROUGH	FARNELL MIDDLE SCHOOL	HILLSBOROUGH	
FERRELL MIDDLE MAGNET SCHOOL	HILLSBOROUGH	FERRELL MIDDLE MAGNET SCHOOL	HILLSBOROUGH	
FIRST BAPTIST BRANDON CHRISTIAN ACADEMY	HILLSBOROUGH	FIRST BAPTIST BRANDON CHRISTIAN ACADEMY	HILLSBOROUGH	
FIRST BAPTIST RUSKIN CHRISTIAN SCHOOL	HILLSBOROUGH	FIRST BAPTIST RUSKIN CHRISTIAN SCHOOL	HILLSBOROUGH	
FIRST DISCOVERIES ACADEMY	HILLSBOROUGH	FIRST DISCOVERIES ACADEMY	HILLSBOROUGH	
FISHHAWK CREEK ELEMENTARY SCHOOL	HILLSBOROUGH	FISHHAWK CREEK ELEMENTARY SCHOOL	HILLSBOROUGH	
FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE	HILLSBOROUGH	FLORIDA AUTISM CHARTER SCHOOL OF EXCELLENCE	HILLSBOROUGH	
FLORIDA CAREER COLLEGE	HILLSBOROUGH	FLORIDA CAREER COLLEGE	HILLSBOROUGH	
FLORIDA CAREER COLLEGE - TAMPA	HILLSBOROUGH	FLORIDA CAREER COLLEGE	HILLSBOROUGH	
FLORIDA CAREER COLLEGE-TAMPA	HILLSBOROUGH	FLORIDA CAREER COLLEGE	HILLSBOROUGH	
