county,county_new,school,school_new
HILLSBOROUGH,HILLSBOROUGH,ACADEMY PREP CENTER OF TAMPA INC.,ACADEMY PREP CENTER OF TAMPA INC.
ST. LUCIE,ST. LUCIE,ACCELERATION ACADEMY,ACCELERATION ACADEMY
ORANGE,ORANGE,ACCELERATION EAST,ACCELERATION EAST
ORANGE,ORANGE,ACCELERATION WEST,ACCELERATION WEST
ORANGE,ORANGE,ACCESS CHARTER,ACCESS CHARTER
MIAMI-DADE,MIAMI-DADE,ACE ACADEMY,ACE ACADEMY SCHOOL
MIAMI-DADE,MIAMI-DADE,ACE ACADEMY SCHOOL,ACE ACADEMY SCHOOL
MIAMI-DADE,MIAMI-DADE,ACE ACADEMY SOUTH,ACE ACADEMY SOUTH
PASCO,PASCO,ACHIEVE CENTER AT RICHEY,ACHIEVE CENTER AT RICHEY
UNKNOWN,PASCO,ACHIEVE CENTER AT RICHEY,ACHIEVE CENTER AT RICHEY
PASCO,PASCO,ACHIEVE CENTER OF PASCO,ACHIEVE CENTER OF PASCO
POLK,POLK,ACHIEVEMENT ACADEMY,ACHIEVEMENT ACADEMY
SARASOTA,SARASOTA,ACHIEVEMENT CENTER OF SARASOTA THE,ACHIEVEMENT CENTER OF SARASOTA THE
PALM BEACH,PALM BEACH,ACREAGE PINES ELEMENTARY SCHOOL,ACREAGE PINES ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ACTON ACADEMY CENTRAL MIAMI,ACTON ACADEMY CENTRAL MIAMI
UNKNOWN,MIAMI-DADE,THE ACTON ACADEMY,ACTON ACADEMY CENTRAL MIAMI
LEON,LEON,ACTS ACADEMY,ACTS ACADEMY
MIAMI-DADE,MIAMI-DADE,ACUPUNCTURE AND MASSAGE COLLEGE,ACUPUNCTURE AND MASSAGE COLLEGE
MIAMI-DADE,MIAMI-DADE,ACUPUNCTURE MASSAGE COLLEGE,ACUPUNCTURE AND MASSAGE COLLEGE
MIAMI-DADE,MIAMI-DADE,ADA MERRITT K-8 CENTER,ADA MERRITT K-8 CENTER
HILLSBOROUGH,HILLSBOROUGH,ADAMS MIDDLE SCHOOL,ADAMS MIDDLE SCHOOL
OKALOOSA,OKALOOSA,ADDIE R LEWIS SCHOOL,ADDIE R. LEWIS SCHOOL
OKALOOSA,OKALOOSA,ADDIE R. LEWIS SCHOOL,ADDIE R. LEWIS SCHOOL
PALM BEACH,PALM BEACH,ADDISON MIZNER ELEMENTARY SCHOOL,ADDISON MIZNER ELEMENTARY SCHOOL
UNKNOWN,MIAMI-DADE,ADF AITWAY,ADF AIRWAYS MIAMI FLIGHT SCHOOL
UNKNOWN,MIAMI-DADE,ADS AIRWAYS,ADF AIRWAYS MIAMI FLIGHT SCHOOL
MIAMI-DADE,MIAMI-DADE,ADF AIRWAYS FLIGHT SCHOOL,ADF AIRWAYS MIAMI FLIGHT SCHOOL
MIAMI-DADE,MIAMI-DADE,ADF AIRWAYS MIAMI FLIGHT SCHOOL,ADF AIRWAYS MIAMI FLIGHT SCHOOL
PINELLAS,PINELLAS,ADMIRAL FARRAGUT ACADEMY,ADMIRAL FARRAGUT ACADEMY
LEE,LEE,ADULT EDUCATION,ADULT EDUCATION CENTER
UNKNOWN,LEE,ADULT EDUCATION CENTER,ADULT EDUCATION CENTER
PALM BEACH,PALM BEACH,ADULT EDUCATION CENTER OF PALM BEACH,ADULT EDUCATION CENTER OF PALM BEACH
OSCEOLA,OSCEOLA,ADULT LEARNING CENTER OSCEOLA,ADULT LEARNING CENTER OSCEOLA
WAKULLA,WAKULLA,ADULT/COMMUNITY EDUCATION,ADULT/COMMUNITY EDUCATION
MIAMI-DADE,MIAMI-DADE,ADVANCE ACHIEVERS ACADEMY,ADVANCE ACHIEVERS ACADEMY
SEMINOLE,SEMINOLE,ADVANCE LEARNING ACADEMY,ADVANCE LEARNING ACADEMY
POLK,POLK,ADVANCE PREP ACADEMY,ADVANCE PREP ACADEMY
OKALOOSA,OKALOOSA,ADVANCED SACRED HOPE ACADEMY,ADVANCED SACRED HOPE ACADEMY
HILLSBOROUGH,HILLSBOROUGH,ADVANTAGE ACADEMY OF HILLSBOROUGH,ADVANTAGE ACADEMY OF HILLSBOROUGH
PALM BEACH,PALM BEACH,ADVENT LUTHERAN SCHOOL,ADVENT LUTHERAN SCHOOL
ORANGE,ORANGE,ADVENTHEALTH UNIVERSITY,ADVENTHEALTH UNIVERSITY
LAKE,LAKE,ADVENTURE CHRISTIAN ACADEMY,ADVENTURE CHRISTIAN ACADEMY
SARASOTA,SARASOTA,AGAPE CHRISTIAN SCHOOL OF SARASOTA INC.,AGAPE CHRISTIAN SCHOOL OF SARASOTA INC.
MIAMI-DADE,MIAMI-DADE,AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL,AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION,AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION
UNKNOWN,MIAMI-DADE,AIRALA EYE INSTITUTE,AIRALA EYE INSTITUTE
DUVAL,DUVAL,AL-FURQAN ACADEMY,AL-FURQAN ACADEMY
ALACHUA,ALACHUA,ALACHUA ACADEMY,ALACHUA ACADEMY
ALACHUA,ALACHUA,ALACHUA COUNTY PUBLIC SCHOOLS,ALACHUA COUNTY PUBLIC SCHOOLS
ALACHUA,ALACHUA,ALACHUA DISTRICT OFFICE,ALACHUA DISTRICT OFFICE
ALACHUA,ALACHUA,ALACHUA ELEMENTARY SCHOOL,ALACHUA ELEMENTARY SCHOOL
ALACHUA,ALACHUA,ALACHUA LEARNING ACADEMY ELEMENTARY,ALACHUA LEARNING ACADEMY ELEMENTARY SCHOOL
ALACHUA,ALACHUA,ALACHUA LEARNING ACADEMY MIDDLE,ALACHUA LEARNING ACADEMY MIDDLE
HILLSBOROUGH,HILLSBOROUGH,ALAFIA ELEMENTARY SCHOOL,ALAFIA ELEMENTARY SCHOOL
HARDEE,HARDEE,ALANE ACADEMY,ALANE ACADEMY
BROWARD,BROWARD,ALAZHAR SCHOOL,ALAZHAR SCHOOL
UNKNOWN,OSCEOLA,ALCO LEARNING CENTER,ALCO LEARNING CENTER
UNKNOWN,OSCEOLA,ALCO POINCIANA,ALCO POINCIANA
DUVAL,DUVAL,ALDEN ROAD EXCEP. STUDENT CENTER,ALDEN ROAD EXCEP. STUDENT CENTER
