county,county_new,school,school_new
UNKNOWN,UNKNOWN,CARRIE BRAZER CENTER FOR AUTISM,CARRIE BRAZER CENTER FOR AUTISM
MIAMI-DADE,MIAMI-DADE,CARRIE P. MEEK/WESTVIEW K-8 CENTER,CARRIE P. MEEK/WESTVIEW K-8 CENTER
MIAMI-DADE,MIAMI-DADE,CARROLLTON SCHOOL OF THE SACRED HEART,CARROLLTON SCHOOL OF THE SACRED HEART
HILLSBOROUGH,HILLSBOROUGH,CARROLLWOOD DAY SCHOOL,CARROLLWOOD DAY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,CARROLLWOOD ELEMENTARY SCHOOL,CARROLLWOOD ELEMENTARY SCHOOL
DUVAL,DUVAL,CARTER G. WOODSON ELEMENTARY SCHOOL,CARTER G. WOODSON ELEMENTARY SCHOOL
GADSDEN,GADSDEN,CARTER PARRAMORE ACADEMY,CARTER PARRAMORE ACADEMY
HILLSBOROUGH,HILLSBOROUGH,CARVER EXCEPTIONAL CENTER,CARVER EXCEPTIONAL CENTER
ORANGE,ORANGE,CARVER MIDDLE,CARVER MIDDLE
LAKE,LAKE,CARVER MIDDLE SCHOOL,CARVER MIDDLE SCHOOL
PALM BEACH,PALM BEACH,CARVER MIDDLE SCHOOL,CARVER MIDDLE SCHOOL
PINELLAS,PINELLAS,CARWISE MIDDLE SCHOOL,CARWISE MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,CASA DEI BAMBINI MONTESSORI SCHOOL,CASA DEI BAMBINI MONTESSORI SCHOOL
VOLUSIA,VOLUSIA,CASA MONTESSORI,CASA MONTESSORI
SEMINOLE,SEMINOLE,CASSELBERRY ELEMENTARY SCHOOL,CASSELBERRY ELEMENTARY SCHOOL
ORANGE,ORANGE,CASTLE CREEK ELEMENTARY,CASTLE CREEK ELEMENTARY SCHOOL
BROWARD,BROWARD,CASTLE HILL ELEMENTARY SCHOOL,CASTLE HILL ELEMENTARY SCHOOL
ORANGE,ORANGE,CASTLEVIEW ELEMENTARY,CASTLEVIEW ELEMENTARY SCHOOL
ORANGE,ORANGE,CATALINA ELEMENTARY,CATALINA ELEMENTARY SCHOOL
ST. JOHNS,ST. JOHNS,CATHEDRAL PARISH SCHOOL,CATHEDRAL PARISH SCHOOL
ESCAMBIA,ESCAMBIA,CATHOLIC HIGH SCHOOL,CATHOLIC HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,CATTOIRA MONTESSORI SCHOOL,CATTOIRA MONTESSORI SCHOOL
MIAMI-DADE,MIAMI-DADE,CBT COLLEGE – FLAGLER MAIN,CBT COLLEGE – FLAGLER MAIN
MIAMI-DADE,MIAMI-DADE,CBT COLLEGE HIALEAH,CBT COLLEGE HIALEAH
HILLSBOROUGH,HILLSBOROUGH,CECILE ESSRIG ELEMENTARY SCHOOL,CECILE ESSRIG ELEMENTARY SCHOOL
DUVAL,DUVAL,CEDAR CREEK CHRISTIAN SCHOOL,CEDAR CREEK CHRISTIAN SCHOOL
BAY,BAY,CEDAR GROVE ELEMENTARY SCHOOL,CEDAR GROVE ELEMENTARY SCHOOL
DUVAL,DUVAL,CEDAR HILLS BAPTIST CHRISTIAN SCHOOL,CEDAR HILLS BAPTIST CHRISTIAN SCHOOL
DUVAL,DUVAL,CEDAR HILLS ELEMENTARY SCHOOL,CEDAR HILLS ELEMENTARY SCHOOL
LEVY,LEVY,CEDAR KEY HIGH SCHOOL,CEDAR KEY HIGH SCHOOL
OSCEOLA,OSCEOLA,CELEBRATION HIGH SCHOOL,CELEBRATION HIGH SCHOOL
OSCEOLA,OSCEOLA,CELEBRATION SCHOOL,CELEBRATION SCHOOL
MIAMI-DADE,MIAMI-DADE,CELEBRITY SCHOOL OF BEAUTY,CELEBRITY SCHOOL OF BEAUTY
PASCO,PASCO,CENTENNIAL ELEMENTARY SCHOOL,CENTENNIAL ELEMENTARY SCHOOL
PASCO,PASCO,CENTENNIAL MIDDLE SCHOOL,CENTENNIAL MIDDLE SCHOOL
BROWARD,BROWARD,CENTER ACADEMY-CORAL SPRINGS,CENTER ACADEMY - CORAL SPRINGS
DUVAL,DUVAL,CENTER ACADEMY - JACKSONVILLE,CENTER ACADEMY - JACKSONVILLE
PASCO,PASCO,CENTER ACADEMY-LUTZ,CENTER ACADEMY - LUTZ
PINELLAS,PINELLAS,CENTER ACADEMY-PALM HARBOR,CENTER ACADEMY - PALM HARBOR
PINELLAS,PINELLAS,CENTER ACADEMY-PINELLAS PARK,CENTER ACADEMY - PINELLAS PARK
HILLSBOROUGH,HILLSBOROUGH,CENTER ACADEMY-RIVERVIEW,CENTER ACADEMY - RIVERVIEW
DUVAL,DUVAL,CENTER ACADEMY - ST. JOHNS BLUFF,CENTER ACADEMY - ST. JOHNS BLUFF
ORANGE,ORANGE,CENTER ACADEMY - WATERFORD LAKES,CENTER ACADEMY - WATERFORD LAKES
MANATEE,MANATEE,CENTER MONTESSORI SCHOOL,CENTER MONTESSORI SCHOOL
MIAMI-DADE,MIAMI-DADE,CENTNER ACADEMY - ELEMENTARY SCHOOL,CENTNER ACADEMY - ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,CENTNER ACADEMY - MIDDLE AND HIGH SCHOOLS,CENTNER ACADEMY - MIDDLE AND HIGH SCHOOLS
MIAMI-DADE,MIAMI-DADE,CENTNER ACADEMY - PRESCHOOL,CENTNER ACADEMY - PRESCHOOL
BAY,BAY,CENTRAL ACADEMY,CENTRAL ACADEMY
OSCEOLA,OSCEOLA,CENTRAL AVENUE ELEMENTARY SCHOOL,CENTRAL AVENUE ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,CENTRAL BAPTIST CHRISTIAN SCHOOL,CENTRAL BAPTIST CHRISTIAN SCHOOL
UNKNOWN,HILLSBOROUGH,HILLSBOROUGH - CENTRAL BAPTIST CHRISTIAN SCHOOL,CENTRAL BAPTIST CHRISTIAN SCHOOL
UNKNOWN,HILLSBOROUGH,CENTRAL BAPTIST CHRISTIAN SCHOOL,CENTRAL BAPTIST CHRISTIAN SCHOOL
BROWARD,BROWARD,CENTRAL CHARTER SCHOOL,CENTRAL CHARTER SCHOOL
ORANGE,ORANGE,CENTRAL CHRISTIAN ACADEMY,CENTRAL CHRISTIAN ACADEMY
HENDRY,HENDRY,CENTRAL ELEMENTARY SCHOOL,CENTRAL ELEMENTARY SCHOOL
OKEECHOBEE,OKEECHOBEE,CENTRAL ELEMENTARY SCHOOL,CENTRAL ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,CENTRAL FLORIDA ACADEMY OF THE ARTS,CENTRAL FLORIDA ACADEMY OF THE ARTS
POLK,POLK,CENTRAL FLORIDA AEROSPACE ACADEMY,CENTRAL FLORIDA AEROSPACE ACADEMY
ORANGE,ORANGE,CENTRAL FLORIDA CHRISTIAN ACADEMY,CENTRAL FLORIDA CHRISTIAN ACADEMY
ORANGE,ORANGE,CENTRAL FLORIDA POLYTECHNIC ACADEMY,CENTRAL FLORIDA POLYTECHNIC ACADEMY
VOLUSIA,VOLUSIA,CENTRAL FLORIDA PREPARATORY ACADEMY,CENTRAL FLORIDA PREPARATORY ACADEMY
ORANGE,ORANGE,CENTRAL FLORIDA PREPARATORY SCHOOL,CENTRAL FLORIDA PREPARATORY SCHOOL
BAY,BAY,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL
HERNANDO,HERNANDO,CENTRAL HIGH SCHOOL,CENTRAL HIGH SCHOOL
BREVARD,BREVARD,CENTRAL MIDDLE SCHOOL,CENTRAL MIDDLE SCHOOL
BROWARD,BROWARD,CENTRAL PARK ELEMENTARY SCHOOL,CENTRAL PARK ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,CENTRAL POINTE CHRISTIAN ACADEMY,CENTRAL POINTE CHRISTIAN ACADEMY
OSCEOLA,OSCEOLA,CENTRAL POINTE CHRISTIAN ACADEMY POINCIANA,CENTRAL POINTE CHRISTIAN ACADEMY
OSCEOLA,OSCEOLA,CENTRAL POINTE CHRISTIAN HIGH SCHOOL,CENTRAL POINTE CHRISTIAN ACADEMY
CITRUS,CITRUS,CENTRAL RIDGE ELEMENTARY SCHOOL,CENTRAL RIDGE ELEMENTARY SCHOOL
DUVAL,DUVAL,CENTRAL RIVERSIDE ELEMENTARY SCHOOL,CENTRAL RIVERSIDE ELEMENTARY SCHOOL
SANTA ROSA,SANTA ROSA,CENTRAL SCHOOL,CENTRAL SCHOOL
MIAMI-DADE,MIAMI-DADE,CENTRO CAMPESINO FARMWORKER CENTER,CENTRO CAMPESINO FARMWORKER CENTER
MIAMI-DADE,MIAMI-DADE,CENTRO MATER WEST II,CENTRO MATER WEST II
DUVAL,DUVAL,CHAFFEE TRAIL ELEMENTARY,CHAFFEE TRAIL ELEMENTARY SCHOOL
POLK,POLK,CHAIN OF LAKES COLLEGIATE HIGH,CHAIN OF LAKES COLLEGIATE HIGH
POLK,POLK,CHAIN OF LAKES ELEMENTARY SCHOOL,CHAIN OF LAKES ELEMENTARY SCHOOL
ORANGE,ORANGE,CHAIN OF LAKES MIDDLE,CHAIN OF LAKES MIDDLE SCHOOL
LEON,LEON,CHAIRES ELEMENTARY SCHOOL,CHAIRES ELEMENTARY SCHOOL
BREVARD,BREVARD,CHALLENGER 7 ELEMENTARY SCHOOL,CHALLENGER 7 ELEMENTARY SCHOOL
BROWARD,BROWARD,CHALLENGER ELEMENTARY SCHOOL,CHALLENGER ELEMENTARY SCHOOL
HERNANDO,HERNANDO,CHALLENGER K-8 SCHOOL OF SCIENCE AND MATH,CHALLENGER K-8 SCHOOL OF SCIENCE AND MATH
LEE,LEE,CHALLENGER MIDDLE SCHOOL,CHALLENGER MIDDLE SCHOOL
HILLSBOROUGH,HILLSBOROUGH,CHAMBERLAIN HIGH SCHOOL,CHAMBERLAIN HIGH SCHOOL
BROWARD,BROWARD,CHAMBERLAIN UNIVERISY-MIRAMAR,CHAMBERLAIN UNIVERSITY
BROWARD,BROWARD,CHAMBERLAIN UNIVERSITY,CHAMBERLAIN UNIVERSITY
UNKNOWN,BROWARD,CHAMBERLAIN UNIVERSITY,CHAMBERLAIN UNIVERSITY
MIAMI-DADE,MIAMI-DADE,CHAMBERS HIGH SCHOOL,CHAMBERS HIGH SCHOOL
BROWARD,BROWARD,CHAMINADE-MADONNA COLLEGE PREPARATORY,CHAMINADE-MADONNA COLLEGE PREPARATORY
MIAMI-DADE,MIAMI-DADE,CHAMPAGNAT CATHOLIC SCHOOL OF HIALEAH,CHAMPAGNAT CATHOLIC SCHOOL OF HIALEAH
VOLUSIA,VOLUSIA,CHAMPION ELEMENTARY SCHOOL,CHAMPION ELEMENTARY SCHOOL
BROWARD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE,CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE
BROWARD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD
BROWARD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL,CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL
BROWARD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL,CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL
BROWARD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWA,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD
BROWARD,BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWAR,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD
ORANGE,ORANGE,CHANCERY HIGH CHARTER,CHANCERY HIGH CHARTER
ORANGE,ORANGE,CHANGING LIVES ACADEMY INC.,CHANGING LIVES ACADEMY INC.
DUVAL,DUVAL,CHANGING LIVES CHRISTIAN ACADEMY,CHANGING LIVES CHRISTIAN ACADEMY
HILLSBOROUGH,HILLSBOROUGH,CHANNELSIDE ACADEMY OF MATH AND SCIENCE,CHANNELSIDE ACADEMY OF MATH AND SCIENCE
MIAMI-DADE,MIAMI-DADE,CHANTY LEARNING CENTER DBA WE LOVE KIDS,CHANTY LEARNING CENTER DBA WE LOVE KIDS
BROWARD,BROWARD,CHAPEL TRAIL ELEMENTARY SCHOOL,CHAPEL TRAIL ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH,CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH
DUVAL,DUVAL,CHAPPELL SCHOOLS DEERWOOD,CHAPPELL SCHOOLS DEERWOOD
ORANGE,ORANGE,CHARITY LEARNING ACADEMY INC.,CHARITY LEARNING ACADEMY INC.
MIAMI-DADE,MIAMI-DADE,CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL,CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,"CHARLES DAVID WYCHE, JR ELEMENTARY SCHOOL",CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL
BROWARD,BROWARD,CHARLES DREW ELEMENTARY SCHOOL,CHARLES DREW ELEMENTARY SCHOOL
UNKNOWN,BROWARD,CHARLES DREW MIDDLE SCHOOL,CHARLES DREW MIDDLE SCHOOL
CLAY,CLAY,CHARLES E. BENNETT ELEMENTARY SCHOOL,CHARLES E. BENNETT ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,CHARLES R DREW K-8 CENTER,CHARLES R DREW K-8 CENTER
MIAMI-DADE,MIAMI-DADE,CHARLES R HADLEY ELEMENTARY SCHOOL,CHARLES R HADLEY ELEMENTARY SCHOOL
PASCO,PASCO,CHARLES S. RUSHE MIDDLE SCHOOL,CHARLES S. RUSHE MIDDLE SCHOOL
BROWARD,BROWARD,CHARLES W FLANAGAN HIGH SCHOOL,CHARLES W FLANAGAN HIGH SCHOOL
CHARLOTTE,CHARLOTTE,CHARLOTTE DISTRICT OFFICE,CHARLOTTE DISTRICT OFFICE
CHARLOTTE,CHARLOTTE,CHARLOTTE HARBOR SCHOOL,CHARLOTTE HARBOR SCHOOL
CHARLOTTE,CHARLOTTE,CHARLOTTE HIGH SCHOOL,CHARLOTTE HIGH SCHOOL
CHARLOTTE,CHARLOTTE,CHARLOTTE PREPARATORY SCHOOL,CHARLOTTE PREPARATORY SCHOOL
CHARLOTTE,CHARLOTTE,CHARLOTTE TECHNICAL COLLEGE,CHARLOTTE TECHNICAL COLLEGE
MIAMI-DADE,MIAMI-DADE,CHARTER HIGH SCHOOL OF THE AMERICAS,CHARTER HIGH SCHOOL OF THE AMERICAS
BROWARD,BROWARD,CHARTER SCHOOL OF EXCELLENCE,CHARTER SCHOOL OF EXCELLENCE
BROWARD,BROWARD,CHARTER SCHOOL OF EXCELLENCE AT DAVIE,CHARTER SCHOOL OF EXCELLENCE
PASCO,PASCO,CHASCO ELEMENTARY SCHOOL,CHASCO ELEMENTARY SCHOOL
PASCO,PASCO,CHASCO MIDDLE SCHOOL,CHASCO MIDDLE SCHOOL
DUVAL,DUVAL,CHATMAN'S CHRISTIAN ACADEMY,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY
UNKNOWN,DUVAL,"CHATMAN'S DAYCARE, INC",CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY
DUVAL,DUVAL,CHATMAN'S EARLY LEARNING CHRISTIAN ACAD,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY
DUVAL,DUVAL,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY,CHATMAN'S EARLY LEARNING CHRISTIAN ACADEMY
GADSDEN,GADSDEN,CHATTAHOOCHEE ELEMENTARY SCHOOL,CHATTAHOOCHEE ELEMENTARY SCHOOL
ORANGE,ORANGE,CHENEY ELEMENTARY,CHENEY ELEMENTARY SCHOOL
ORANGE,ORANGE,CHEROKEE,CHEROKEE
ST. LUCIE,ST. LUCIE,CHESTER A. MOORE ELEMENTARY SCHOOL,CHESTER A. MOORE ELEMENTARY SCHOOL
ALACHUA,ALACHUA,CHESTER SHELL ELEMENTARY SCHOOL,CHESTER SHELL ELEMENTARY SCHOOL
PASCO,PASCO,CHESTER W. TAYLOR JR. ELEMENTARY SCHOOL,CHESTER W. TAYLOR JR. ELEMENTARY SCHOOL
PASCO,PASCO,"CHESTER W. TAYLOR, JR. ELEMENTARY SCHOOL",CHESTER W. TAYLOR JR. ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINE,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING
OSCEOLA,OSCEOLA,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEEERING,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING
OSCEOLA,OSCEOLA,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING,CHESTNUT ELEMENTARY SCHOOL FOR SCIENCE AND ENGINEERING
DUVAL,DUVAL,CHET'S CREEK ELEMENTARY SCHOOL,CHET'S CREEK ELEMENTARY SCHOOL
PINELLAS,PINELLAS,CHI CHI RODRIQUEZ ACADEMY,CHI CHI RODRIQUEZ ACADEMY
HILLSBOROUGH,HILLSBOROUGH,CHIARAMONTE ELEMENTARY SCHOOL,CHIARAMONTE ELEMENTARY SCHOOL
ORANGE,ORANGE,CHICKASAW ELEMENTARY,CHICKASAW ELEMENTARY SCHOOL
LEVY,LEVY,CHIEFLAND ELEMENTARY SCHOOL,CHIEFLAND ELEMENTARY SCHOOL
LEVY,LEVY,CHIEFLAND MIDDLE HIGH SCHOOL,CHIEFLAND MIDDLE HIGH SCHOOL
BROWARD,BROWARD,CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL,CHILDREN IN THE SPIRIT CHRISTIAN SCHOOL
UNKNOWN,SANTA ROSA,CHILDREN OF WOODBINE PRESCHOOL,CHILDREN OF WOODBINE PRESCHOOL
UNKNOWN,MIAMI-DADE,CHILDREN PARADISE,CHILDREN PARADISE
PALM BEACH,PALM BEACH,CHILDREN'S HOUSE MONTESSORI,CHILDREN'S HOUSE MONTESSORI
BREVARD,BREVARD,CHILDREN'S MONTESSORI ACADEMY,CHILDREN'S MONTESSORI ACADEMY
UNKNOWN,BREVARD,CHILDREN'S MONTESSORI ACADEMY,CHILDREN'S MONTESSORI ACADEMY
MIAMI-DADE,MIAMI-DADE,CHILDRENS PARADISE LEARNING CENTER 3,CHILDREN'S PARADISE LEARNING CENTER 3
MIAMI-DADE,MIAMI-DADE,CHILDREN'S PARADISE LEARNING CENTER 5,CHILDREN'S PARADISE LEARNING CENTER 5
MIAMI-DADE,MIAMI-DADE,CHILDREN'S PARADISE LEARNING CENTER 6 INC.,CHILDREN'S PARADISE LEARNING CENTER 6 INC.
MIAMI-DADE,MIAMI-DADE,CHILDREN'S PARADISE LEARNING CENTER INC 4,CHILDREN'S PARADISE LEARNING CENTER INC 4
MIAMI-DADE,MIAMI-DADE,CHILDREN'S PARADISE LEARNING CENTER INC.,CHILDREN'S PARADISE LEARNING CENTER INC.
MIAMI-DADE,MIAMI-DADE,CHILDREN'S PARADISE LEARNING CENTER.INC,CHILDREN'S PARADISE LEARNING CENTER INC.
MIAMI-DADE,MIAMI-DADE,CHILDREN'S PLACE LEARNING CENTER,CHILDREN'S PLACE LEARNING CENTER
MIAMI-DADE,MIAMI-DADE,CHILDREN'S RAINBOW DAYSCHOOL ACADEMY,CHILDREN'S RAINBOW DAYSCHOOL ACADEMY
MIAMI-DADE,MIAMI-DADE,CHILDREN'S RESOURCES,CHILDREN'S RESOURCES
PUTNAM,PUTNAM,CHILDREN'S READING CENTER,CHILDRENS READING CENTER CHARTER SCHOOL
PUTNAM,PUTNAM,CHILDRENS READING CENTER CHARTER SCHOOL,CHILDRENS READING CENTER CHARTER SCHOOL
HILLSBOROUGH,HILLSBOROUGH,CHILES ELEMENTARY SCHOOL,CHILES ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,CHILES MIDDLE SCHOOL,CHILES MIDDLE SCHOOL
DUVAL,DUVAL,CHIMNEY LAKES ELEMENTARY SCHOOL,CHIMNEY LAKES ELEMENTARY SCHOOL
WASHINGTON,WASHINGTON,CHIPLEY HIGH SCHOOL,CHIPLEY HIGH SCHOOL
WASHINGTON,WASHINGTON,CHIPLEY HS,CHIPLEY HIGH SCHOOL
JACKSON,JACKSON,CHIPOLA COLLEGE,CHIPOLA COLLEGE
JACKSON,JACKSON,CHIPOLA COMMUNITY COLLEGE,CHIPOLA COMMUNITY COLLEGE
VOLUSIA,VOLUSIA,CHISHOLM ELEMENTARY SCHOOL,CHISHOLM ELEMENTARY SCHOOL
HERNANDO,HERNANDO,CHOCACHATTI ELEMENTARY SCHOOL,CHOCACHATTI ELEMENTARY SCHOOL
OKALOOSA,OKALOOSA,CHOCTAWHATCHEE HIGH SCHOOL,CHOCTAWHATCHEE HIGH SCHOOL
OKALOOSA,OKALOOSA,CHOCTAWHATCHEE SENIOR HIGH SCHOOL,CHOCTAWHATCHEE HIGH SCHOOL
OKALOOSA,OKALOOSA,CHOICE FAST TRACK-OTC,CHOICE FAST TRACK-OTC
SEMINOLE,SEMINOLE,CHOICES IN LEARNING CHARTER,CHOICES IN LEARNING CHARTER
PALM BEACH,PALM BEACH,CHOLEE LAKE ELEMENTARY SCHOOL,CHOLEE LAKE ELEMENTARY SCHOOL
OSCEOLA,OSCEOLA,CHOSEN GENERATION CHRISTIAN ACADEMY,CHOSEN GENERATION CHRISTIAN ACADEMY
MIAMI-DADE,MIAMI-DADE,CHRIST CHILDREN ACADEMY,CHRIST CHILDREN ACADEMY
BROWARD,BROWARD,CHRIST CHURCH SCHOOL,CHRIST CHURCH SCHOOL
LEON,LEON,CHRIST CLASSICAL ACADEMY,CHRIST CLASSICAL ACADEMY
MIAMI-DADE,MIAMI-DADE,CHRIST FELLOWSHIP ACADEMY,CHRIST FELLOWSHIP ACADEMY
ST. LUCIE,ST. LUCIE,CHRIST LUTHERAN SCHOOL,CHRIST LUTHERAN SCHOOL
DUVAL,DUVAL,CHRIST THE KING CATHOLIC,CHRIST THE KING CATHOLIC
HILLSBOROUGH,HILLSBOROUGH,CHRIST THE KING CATHOLIC SCHOOL,CHRIST THE KING CATHOLIC SCHOOL
FLAGLER,FLAGLER,CHRIST THE KING LUTHERAN SCHOOL,CHRIST THE KING LUTHERAN SCHOOL
DUVAL,DUVAL,CHRIST'S CHURCH ACADEMY,CHRIST'S CHURCH ACADEMY
BREVARD,BREVARD,CHRISTA MCAULIFFE ELEMENTARY SCHOOL,CHRISTA MCAULIFFE ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,CHRISTA MCAULIFFE MIDDLE SCHOOL,CHRISTA MCAULIFFE MIDDLE SCHOOL
BROWARD,BROWARD,CHRISTI ACADEMY,CHRISTI ACADEMY
BROWARD,BROWARD,CHRISTIAN ACADEMY OF EXCELLENCE,CHRISTIAN ACADEMY OF EXCELLENCE
PASCO,PASCO,CHRISTIAN CROSSINGS ACADEMY,CHRISTIAN CROSSINGS ACADEMY
DUVAL,DUVAL,CHRISTIAN HERITAGE ACADEMY,CHRISTIAN HERITAGE ACADEMY
CLAY,CLAY,CHRISTIAN HOME ACADEMY,CHRISTIAN HOME ACADEMY
ESCAMBIA,ESCAMBIA,CHRISTIAN INSTITUTE OF ARTS AND SCIENCES,CHRISTIAN INSTITUTE OF ARTS AND SCIENCES
ORANGE,ORANGE,CHRISTIAN LEARNING ACADEMY APOPKA INC.,CHRISTIAN LEARNING ACADEMY APOPKA INC.
BROWARD,BROWARD,CHRISTIAN LIFE ACADEMY,CHRISTIAN LIFE ACADEMY
LEE,LEE,CHRISTIAN LIFE ACADEMY OF LEE COUNTY,CHRISTIAN LIFE ACADEMY OF LEE COUNTY
MIAMI-DADE,MIAMI-DADE,CHRISTINA M. EVE ELEMENTARY SCHOOL,CHRISTINA M. EVE ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,CHRISTOPHER COLUMBUS HIGH SCHOOL,CHRISTOPHER COLUMBUS HIGH SCHOOL
SANTA ROSA,SANTA ROSA,CHUMUCKLA ELEMENTARY SCHOOL,CHUMUCKLA ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,CIMINO ELEMENTARY SCHOOL,CIMINO ELEMENTARY SCHOOL
OKALOOSA,OKALOOSA,CINCO CHRISTIAN SCHOOL,CINCO CHRISTIAN SCHOOL
MIAMI-DADE,MIAMI-DADE,CINDERELLA SCHOOL,CINDERELLA SCHOOL
SEMINOLE,SEMINOLE,CIRCLE CHRISTIAN SCHOOL OVIEDO CAMPUS,CIRCLE CHRISTIAN SCHOOL OVIEDO CAMPUS
ORANGE,ORANGE,CIRCLE CHRISTIAN SCHOOL WINTER GARDEN CAMPUS,CIRCLE CHRISTIAN SCHOOL WINTER GARDEN CAMPUS
ORANGE,ORANGE,CIRCLE CHRISTIAN SCHOOL WINTER PARK CAMPUS,CIRCLE CHRISTIAN SCHOOL WINTER PARK CAMPUS
SEMINOLE,SEMINOLE,CIRCLE CHRISTIAN SCHOOL WINTER SPRINGS CAMPUS,CIRCLE CHRISTIAN SCHOOL WINTER SPRINGS CAMPUS
MIAMI-DADE,MIAMI-DADE,CITI CHRISTIAN ACADEMY,CITI CHRISTIAN ACADEMY
PALM BEACH,PALM BEACH,CITRUS COVE ELEMENTARY SCHOOL,CITRUS COVE ELEMENTARY SCHOOL
CITRUS,CITRUS,CITRUS DISTRICT OFFICE,CITRUS DISTRICT OFFICE
UNKNOWN,CITRUS,CITRUS ELEMANTRY SCHOOL,CITRUS ELEMANTARY SCHOOL
INDIAN RIVER,INDIAN RIVER,CITRUS ELEMENTARY SCHOOL,CITRUS ELEMENTARY SCHOOL
ORANGE,ORANGE,CITRUS ELEMENTARY,CITRUS ELEMENTARY SCHOOL
MARTIN,MARTIN,CITRUS GROVE ELEMENTARY,CITRUS GROVE ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,CITRUS GROVE ELEMENTARY SCHOOL,CITRUS GROVE ELEMENTARY SCHOOL
VOLUSIA,VOLUSIA,CITRUS GROVE ELEMENTARY SCHOOL,CITRUS GROVE ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,CITRUS GROVE MIDDLE SCHOOL,CITRUS GROVE MIDDLE SCHOOL
LAKE,LAKE,CITRUS HEIGHTS ACADEMY,CITRUS HEIGHTS ACADEMY
CITRUS,CITRUS,CITRUS HIGH SCHOOL,CITRUS HIGH SCHOOL
HILLSBOROUGH,HILLSBOROUGH,CITRUS PARK ELEMENTARY SCHOOL,CITRUS PARK ELEMENTARY SCHOOL
POLK,POLK,CITRUS RIDGE A CIVICS ACADEMY,CITRUS RIDGE A CIVICS ACADEMY
CITRUS,CITRUS,CITRUS SPRINGS ELEMENTARY SCHOOL,CITRUS SPRINGS ELEMENTARY SCHOOL
CITRUS,CITRUS,CITRUS SPRINGS MIDDLE SCHOOL,CITRUS SPRINGS MIDDLE SCHOOL
SEMINOLE,SEMINOLE,CITY CHURCH ACADEMY,CITY CHURCH ACADEMY
MIAMI-DADE,MIAMI-DADE,CITY OF HIALEAH EDUCATION ACADEMY,CITY OF HIALEAH EDUCATION ACADEMY
MIAMI-DADE,MIAMI-DADE,MIAMI-DADE - CITY OF HIALEAH EDUCATION ACADEMY,CITY OF HIALEAH EDUCATION ACADEMY
OSCEOLA,OSCEOLA,CITY OF LIFE CHRISTIAN ACADEMY,CITY OF LIFE CHRISTIAN ACADEMY
